Facility ID,Facility Name,Address,City,State,ZIP Code,County Name,Phone Number,Measure ID,Measure Name,Score,Sample,Location
08002F,WILMINGTON VA MEDICAL CENTER,1601 KIRKWOOD HIGHWAY,WILMINGTON,DE,19805,NEW CASTLE,(302) 994-2511,HBIPS-3,Hours of seclusion,0,0,POINT (-75.60515 39.738806)
33009F,ALBANY VA MEDICAL CENTER,113 HOLLAND AVENUE,ALBANY,NY,12208,ALBANY,(518) 626-5000,SUB_2,Alcohol use brief intervention provided or offered,73,44,POINT (-73.776343 42.651508)
34012F,DURHAM VA MEDICAL CENTER,508 FULTON STREET,DURHAM,NC,27705,DURHAM,(919) 286-0411,HBIPS-3,Hours of seclusion,0,9350,POINT (-78.937226 36.009188)
43005F,SIOUX FALLS VA MEDICAL CENTER,2501 WEST 22ND STREET,SIOUX FALLS,SD,57117,MINNEHAHA,(605) 336-3230,HBIPS-2,Hours of physical-restraint use,0,1411,
50011F,SPOKANE VA MEDICAL CENTER,4815 N. ASSEMBLY STREET,SPOKANE,WA,99205,SPOKANE,(509) 434-7000,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,93,107,POINT (-117.475567 47.702535)
53004F,CHEYENNE VA MEDICAL CENTER,2360 E. PERSHING BLVD.,CHEYENNE,WY,82001,LARAMIE,(307) 778-7300,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,80,35,POINT (-104.78554400000002 41.1457)
53005F,SHERIDAN VA MEDICAL CENTER,1898 FORT ROAD,SHERIDAN,WY,82801,SHERIDAN,(307) 672-1675,HBIPS-3,Hours of seclusion,2.63,3040,POINT (-106.988868 44.829532)
53005F,SHERIDAN VA MEDICAL CENTER,1898 FORT ROAD,SHERIDAN,WY,82801,SHERIDAN,(307) 672-1675,TOB_2,Tobacco Use Treatment Provided or Offered,87,287,POINT (-106.988868 44.829532)
53005F,SHERIDAN VA MEDICAL CENTER,1898 FORT ROAD,SHERIDAN,WY,82801,SHERIDAN,(307) 672-1675,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,89,285,POINT (-106.988868 44.829532)
53004F,CHEYENNE VA MEDICAL CENTER,2360 E. PERSHING BLVD.,CHEYENNE,WY,82001,LARAMIE,(307) 778-7300,TOB_2,Tobacco Use Treatment Provided or Offered,99,106,POINT (-104.78554400000002 41.1457)
53005F,SHERIDAN VA MEDICAL CENTER,1898 FORT ROAD,SHERIDAN,WY,82801,SHERIDAN,(307) 672-1675,SUB_2,Alcohol use brief intervention provided or offered,92,214,POINT (-106.988868 44.829532)
42011F,COLUMBIA SC VA MEDICAL CENTER,6439 GARNERS FERRY ROAD,COLUMBIA,SC,29209,RICHLAND,(803) 695-7980,SUB_2,Alcohol use brief intervention provided or offered,99,77,POINT (-80.960977 33.979149)
05031F,PALO ALTO VA MEDICAL CENTER,3801 MIRANDA AVENUE,PALO ALTO,CA,94304,SANTA CLARA,(650) 858-3939,SUB_2,Alcohol use brief intervention provided or offered,81,111,POINT (-122.141893 37.402928)
52004F,MADISON VA MEDICAL CENTER,2500 OVERLOOK TERRACE,MADISON,WI,53705,DANE,(608) 256-1901,TOB_2,Tobacco Use Treatment Provided or Offered,93,198,POINT (-89.433629 43.074477)
39013F,WILKES BARRE VA MEDICAL CENTER,1111 EAST END BOULEVARD,WILKES-BARRE,PA,18711,LUZERNE,(570) 824-3521,TOB_2,Tobacco Use Treatment Provided or Offered,97,139,POINT (-75.83691000000002 41.248299)
23037F,DETROIT (JOHN D. DINGELL) VA MEDICAL CENTER,4646 JOHN R.,DETROIT,MI,48201,WAYNE,(313) 576-1000,TOB_2,Tobacco Use Treatment Provided or Offered,89,142,POINT (-83.060409 42.35519)
10057F,VA NORTH FLORIDA/SOUTH GEORGIA HEALTHCARE SYSTEM - GAINESVILLE,1601 S W ARCHER ROAD,GAINESVILLE,FL,32608,ALACHUA,(352) 376-1611,HBIPS-2,Hours of physical-restraint use,0,15676,POINT (-82.345877 29.638214)
06005F,VA EASTERN COLORADO HEALTHCARE SYSTEM,1700 NORTH WHEELING STREET,AURORA,CO,80045,ADAMS,(303) 399-8020,TOB_2,Tobacco Use Treatment Provided or Offered,92,158,POINT (-104.831002 39.743633)
33015F,VA HUDSON VALLEY HEALTHCARE SYSTEM,2094 ALBANY POST ROAD,MONTROSE,NY,10548,WESTCHESTER,(914) 737-4400,TOB_2,Tobacco Use Treatment Provided or Offered,93,157,POINT (-73.9261 41.244518)
23009F,SAGINAW VA MEDICAL CENTER,1500 WEISS STREET,SAGINAW,MI,48602,SAGINAW,(989) 497-2500,TOB_2,Tobacco Use Treatment Provided or Offered,96,76,POINT (-83.960989 43.443673)
22010F,VA BOSTON HEALTHCARE SYSTEM - JAMAICA PLAIN,150 S. HUNTINGTON AVENUE,JAMAICA PLAIN,MA,2130,SUFFOLK,(617) 232-9500,SUB_2,Alcohol use brief intervention provided or offered,31,247,POINT (-71.111145 42.327022)
